Model,R2_Train,R2_Test,CV_R2_Mean,CV_R2_Std,RMSE_Train,RMSE_Test,CV_RMSE_Mean,MAE_Train,MAE_Test,CV_MAE_Mean,Overfit
RF,0.9987271041565621,0.950764947105896,0.667423129754276,0.14011558359234813,2935.423337942916,21182.480086465093,45220.40843750035,915.9334613480826,10651.843920602916,25235.458844024506,0.04796215705066609
XgBoost,0.9859210352632204,0.9503861474216581,0.7276018971155415,0.11350554731141616,9762.469030340242,21263.809769109892,41199.6348207274,6102.463805564768,12319.88368079693,24068.98121714784,0.035534887841562335
HGB,0.9677180485955142,0.9338052850165273,0.718503124017276,0.12673985238303684,14782.714802194752,24561.294961193897,41729.6133837279,9042.238247628806,14593.325170600103,23963.437958098446,0.03391276357898698
Ridge,0.7628796128877904,0.7252956319749946,0.6021386485891405,0.09226290784665254,40064.41042983831,50034.82497633021,51022.18959401038,27892.401398657614,33355.23545469402,32793.65310334703,0.0375839809127958
Dummy,0.0,-0.021410097869853928,-0.007882329534480093,0.010103663176503125,82276.21579566711,96480.52897640858,82143.08377642123,62234.70126070014,69103.07183719019,62328.88775377804,0.021410097869853928
