mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,param_model__bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3.185015630722046,0.1348865070067832,0.16261649131774902,0.038029474305734494,600,5,10,log2,10,True,"{'model__n_estimators': 600, 'model__min_samples_split': 5, 'model__min_samples_leaf': 10, 'model__max_features': 'log2', 'model__max_depth': 10, 'model__bootstrap': True}",0.506253928141817,0.4798859893598606,0.4582735600411455,0.5734576979698662,0.5265977770926037,0.5088937905210587,0.03973099148275085,50
51.30673990249634,5.333154796823371,0.4557081699371338,0.06642134123783955,1000,10,5,0.8,,False,"{'model__n_estimators': 1000, 'model__min_samples_split': 10, 'model__min_samples_leaf': 5, 'model__max_features': 0.8, 'model__max_depth': None, 'model__bootstrap': False}",0.7462301019004433,0.4971063635506827,0.8930249479553533,0.5880753398458347,0.6443589270524074,0.6737591360609442,0.13619238188280905,36
7.78930139541626,0.3551285601994783,0.0787625789642334,0.022577119780072347,300,20,1,0.5,20,True,"{'model__n_estimators': 300, 'model__min_samples_split': 20, 'model__min_samples_leaf': 1, 'model__max_features': 0.5, 'model__max_depth': 20, 'model__bootstrap': True}",0.7536567775649257,0.5170754804308757,0.8821116609847421,0.6707992256320495,0.714594452087155,0.7076475193399496,0.1185566085884766,21
7.1606780052185055,0.46925256770011303,0.32811861038208007,0.054242765880804546,1000,5,10,sqrt,10,True,"{'model__n_estimators': 1000, 'model__min_samples_split': 5, 'model__min_samples_leaf': 10, 'model__max_features': 'sqrt', 'model__max_depth': 10, 'model__bootstrap': True}",0.6022784837349774,0.5444881551315031,0.5872951966167336,0.6395532162827224,0.6296538831260075,0.6006537869783888,0.03373378411484623,45
10.967150831222535,1.0226768601598943,0.08779697418212891,0.030345862334839203,300,10,10,0.5,,False,"{'model__n_estimators': 300, 'model__min_samples_split': 10, 'model__min_samples_leaf': 10, 'model__max_features': 0.5, 'model__max_depth': None, 'model__bootstrap': False}",0.7601655216148652,0.5038238929031342,0.8870271231111083,0.6878433523580824,0.7115829020004822,0.7100885583975345,0.12398157315829447,16
4.8829656600952145,0.25459439636140996,0.1839064121246338,0.05274801263691043,600,5,20,sqrt,20,True,"{'model__n_estimators': 600, 'model__min_samples_split': 5, 'model__min_samples_leaf': 20, 'model__max_features': 'sqrt', 'model__max_depth': 20, 'model__bootstrap': True}",0.6688671422008354,0.5618049728122771,0.6809039102142215,0.7115543430679234,0.6821744988853872,0.6610609734361289,0.051578664977438154,39
6.143620538711548,0.2563922726750449,0.29991636276245115,0.0740589068433566,1000,10,3,log2,10,True,"{'model__n_estimators': 1000, 'model__min_samples_split': 10, 'model__min_samples_leaf': 3, 'model__max_features': 'log2', 'model__max_depth': 10, 'model__bootstrap': True}",0.5096365607188837,0.4848595204956557,0.4752747417423212,0.5744473198495281,0.5370563890646376,0.5162549063742052,0.03613282528431995,49
20.98406538963318,1.4515040384931046,0.13650102615356446,0.02263778671219211,600,2,10,0.8,20,True,"{'model__n_estimators': 600, 'model__min_samples_split': 2, 'model__min_samples_leaf': 10, 'model__max_features': 0.8, 'model__max_depth': 20, 'model__bootstrap': True}",0.756642720853095,0.49227082450026927,0.8998246697795913,0.6478352895945207,0.6684687476214453,0.6930084504697843,0.13398557750447815,25
12.007381582260132,0.5679884414470523,0.3855477809906006,0.027721839260783986,1000,20,1,sqrt,20,False,"{'model__n_estimators': 1000, 'model__min_samples_split': 20, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 20, 'model__bootstrap': False}",0.7157948183274998,0.5858136537855794,0.8052032392776889,0.727509619461875,0.7144146447568716,0.709747195121903,0.07049147691033102,17
22.279339218139647,1.4109439015054528,0.14403986930847168,0.01771324514456967,600,10,10,0.8,10,False,"{'model__n_estimators': 600, 'model__min_samples_split': 10, 'model__min_samples_leaf': 10, 'model__max_features': 0.8, 'model__max_depth': 10, 'model__bootstrap': False}",0.7429903784842561,0.5114258715588205,0.8910800572461108,0.629297394533472,0.6408179752262708,0.683122335409786,0.12727690717700682,30
4.332769107818604,0.18141783442433615,0.15083374977111816,0.018189251483005296,600,10,20,log2,,True,"{'model__n_estimators': 600, 'model__min_samples_split': 10, 'model__min_samples_leaf': 20, 'model__max_features': 'log2', 'model__max_depth': None, 'model__bootstrap': True}",0.6239641542885892,0.5442925029767443,0.6005818077815404,0.6880188147658954,0.6293092687188473,0.6172333097063233,0.0464744114198649,40
23.511024045944215,1.201224577809357,0.3944216728210449,0.01884620158321162,1000,20,5,0.5,30,True,"{'model__n_estimators': 1000, 'model__min_samples_split': 20, 'model__min_samples_leaf': 5, 'model__max_features': 0.5, 'model__max_depth': 30, 'model__bootstrap': True}",0.7629071514694723,0.5282708687265818,0.8865150756563471,0.6775773549441886,0.71468776299053,0.713991642757424,0.11659824418808967,13
7.852088689804077,0.6110755065021987,0.33533878326416017,0.03644959018010383,1000,2,10,sqrt,10,False,"{'model__n_estimators': 1000, 'model__min_samples_split': 2, 'model__min_samples_leaf': 10, 'model__max_features': 'sqrt', 'model__max_depth': 10, 'model__bootstrap': False}",0.6030507242704084,0.5452296673381406,0.5973767368211547,0.6409951908506782,0.630820992973907,0.6034946624508578,0.03342290747593414,42
