mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_leaf,param_model__max_iter,param_model__max_depth,param_model__max_bins,param_model__learning_rate,param_model__l2_regularization,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
12.234805345535278,0.8717417475452863,0.23019061088562012,0.03133922884427012,20,1200,,128,0.05,0.1,"{'model__min_samples_leaf': 20, 'model__max_iter': 1200, 'model__max_depth': None, 'model__max_bins': 128, 'model__learning_rate': 0.05, 'model__l2_regularization': 0.1}",0.7836803038875105,0.5065295731343628,0.9064023818213252,0.7108466529209176,0.669013832856943,0.7152945489242117,0.1318660827139586,35
4.574686670303345,0.3264935151131367,0.06340737342834472,0.005759572926532615,50,300,,255,0.01,5.0,"{'model__min_samples_leaf': 50, 'model__max_iter': 300, 'model__max_depth': None, 'model__max_bins': 255, 'model__learning_rate': 0.01, 'model__l2_regularization': 5.0}",0.7811957286316147,0.5528558860093584,0.8500776694289334,0.7095441508074489,0.6418523409208673,0.7071051551596446,0.10391079675677134,42
8.846469163894653,0.6343965881202119,0.1304996967315674,0.01736257595411483,10,1200,3,128,0.01,5.0,"{'model__min_samples_leaf': 10, 'model__max_iter': 1200, 'model__max_depth': 3, 'model__max_bins': 128, 'model__learning_rate': 0.01, 'model__l2_regularization': 5.0}",0.7090316662501002,0.589152203050541,0.800617538890589,0.7084184318129148,0.72967101992261,0.7073781719853509,0.06807605529760138,41
5.08926911354065,0.34214632462314937,0.096000337600708,0.007799101187071641,10,600,5,255,0.05,1.0,"{'model__min_samples_leaf': 10, 'model__max_iter': 600, 'model__max_depth': 5, 'model__max_bins': 255, 'model__learning_rate': 0.05, 'model__l2_regularization': 1.0}",0.7747253327290992,0.5725710965602515,0.8914223230116343,0.7020516594552189,0.7020362663012953,0.7285613356114998,0.10430159419482342,19
5.684547662734985,0.38643611704142644,0.09085602760314941,0.012249951493836548,5,600,8,128,0.1,0.1,"{'model__min_samples_leaf': 5, 'model__max_iter': 600, 'model__max_depth': 8, 'model__max_bins': 128, 'model__learning_rate': 0.1, 'model__l2_regularization': 0.1}",0.8020355422695176,0.5785791174327433,0.8973674452833351,0.703812897279507,0.6972470011562906,0.7358084006842787,0.10744217091792646,13
4.233324098587036,0.318952431312299,0.0742300033569336,0.009583284073162075,5,600,3,255,0.05,1.0,"{'model__min_samples_leaf': 5, 'model__max_iter': 600, 'model__max_depth': 3, 'model__max_bins': 255, 'model__learning_rate': 0.05, 'model__l2_regularization': 1.0}",0.7206497091449537,0.5998634449066591,0.8469302166147423,0.7151997850788328,0.7260468493763976,0.7217380010243171,0.07821636285893302,27
10.54354419708252,0.7507299391863325,0.17913475036621093,0.017480631295080405,50,1200,5,128,0.01,5.0,"{'model__min_samples_leaf': 50, 'model__max_iter': 1200, 'model__max_depth': 5, 'model__max_bins': 128, 'model__learning_rate': 0.01, 'model__l2_regularization': 5.0}",0.7663225361128023,0.5566117929361207,0.863172701003528,0.713424443072904,0.7063168597885329,0.7211696665827776,0.0995625748436534,29
10.989057588577271,0.8275445369109315,0.17028098106384276,0.008526125152947338,20,1200,5,255,0.01,0.0,"{'model__min_samples_leaf': 20, 'model__max_iter': 1200, 'model__max_depth': 5, 'model__max_bins': 255, 'model__learning_rate': 0.01, 'model__l2_regularization': 0}",0.7470614143740745,0.5630306306802284,0.8803519205098036,0.6987646584145791,0.6892274530122326,0.7156872153981837,0.10236144810328753,34
4.753673124313354,0.3831729149151549,0.06318602561950684,0.011113097484362249,10,600,3,255,0.01,10.0,"{'model__min_samples_leaf': 10, 'model__max_iter': 600, 'model__max_depth': 3, 'model__max_bins': 255, 'model__learning_rate': 0.01, 'model__l2_regularization': 10.0}",0.7077560850718807,0.5817518320541926,0.7417055272384662,0.6986098126881586,0.7309989790326782,0.6921644472170752,0.057337643769483596,49
3.372714614868164,0.2632320702452116,0.04983000755310059,0.0084995217302635,10,300,5,255,0.01,0.0,"{'model__min_samples_leaf': 10, 'model__max_iter': 300, 'model__max_depth': 5, 'model__max_bins': 255, 'model__learning_rate': 0.01, 'model__l2_regularization': 0}",0.7420210817489135,0.5603832216501772,0.8331918889427957,0.6960128200532756,0.6945960816343096,0.7052410188058944,0.08821162501087298,44
10.081794214248657,0.6767066444777335,0.18668146133422853,0.01718488909748203,20,1200,5,255,0.05,10.0,"{'model__min_samples_leaf': 20, 'model__max_iter': 1200, 'model__max_depth': 5, 'model__max_bins': 255, 'model__learning_rate': 0.05, 'model__l2_regularization': 10.0}",0.777201197351737,0.5638465303087246,0.8815938713908208,0.7088849411374767,0.6867635607700332,0.7236580201917584,0.10481389432108477,23
3.2480064868927,0.2587839100472549,0.07951726913452148,0.013272359687224565,20,300,8,255,0.05,5.0,"{'model__min_samples_leaf': 20, 'model__max_iter': 300, 'model__max_depth': 8, 'model__max_bins': 255, 'model__learning_rate': 0.05, 'model__l2_regularization': 5.0}",0.799882623037814,0.540959935110702,0.8848141526573994,0.7243492911412182,0.685691315804551,0.7271394635503368,0.11536154095786279,21
12.817075777053834,0.9047335588653902,0.25175981521606444,0.011780921787274773,20,1200,8,128,0.01,10.0,"{'model__min_samples_leaf': 20, 'model__max_iter': 1200, 'model__max_depth': 8, 'model__max_bins': 128, 'model__learning_rate': 0.01, 'model__l2_regularization': 10.0}",0.804008450662364,0.552724502489093,0.8718884701554928,0.7243861151901758,0.7024478768645104,0.7310910830723272,0.10753685287456285,17
